Domain_size k heur total_time solver_time
1000 2 0 0.3 0.27843
1000 4 0 2.37 2.338953
1000 6 0 14.7 14.56182
1000 8 0 86.18 85.214784
2000 2 0 0.32 0.290784
2000 4 0 2.41 2.376742
2000 6 0 15.24 15.089124
2000 8 0 89.17 88.171296
3000 2 0 0.29 0.26941
3000 4 0 2.4 2.36976
3000 6 0 15.73 15.583711
3000 8 0 91.48 90.482868
4000 2 0 0.29 0.269874
4000 4 0 2.36 2.328612
4000 6 0 15.44 15.287144
4000 8 0 92.83 91.836719
5000 2 0 0.3 0.27981
5000 4 0 2.43 2.396709
5000 6 0 16.0 15.8464
5000 8 0 93.53 92.529229
6000 2 0 0.29 0.271266
6000 4 0 2.61 2.574765
6000 6 0 15.85 15.70101
6000 8 0 93.29 92.319784
7000 2 0 0.32 0.297856
7000 4 0 2.44 2.40096
7000 6 0 15.85 15.702595
7000 8 0 93.25 92.289525
8000 2 0 0.29 0.27231
8000 4 0 2.44 2.410476
8000 6 0 15.75 15.600375
8000 8 0 93.05 92.06367
9000 2 0 0.31 0.289137
9000 4 0 2.51 2.479127
9000 6 0 16.35 16.201215
9000 8 0 97.8 96.83178
10000 2 0 0.3 0.27813
10000 4 0 2.57 2.538132
10000 6 0 17.31 17.138631
10000 8 0 97.56 96.574644
1000 2 1 0.3 0.27024
1000 4 1 2.37 2.333265
1000 6 1 14.6 14.48466
1000 8 1 84.24 83.633472
2000 2 1 0.3 0.28197
2000 4 1 2.38 2.347632
2000 6 1 14.96 14.8478
2000 8 1 88.28 87.635556
3000 2 1 0.3 0.27972
3000 4 1 2.37 2.341797
3000 6 1 15.41 15.292884
3000 8 1 89.69 89.071139
4000 2 1 0.29 0.271527
4000 4 1 2.45 2.41962
4000 6 1 15.44 15.325744
4000 8 1 88.44 87.829764
5000 2 1 0.29 0.274369
5000 4 1 2.4 2.37024
5000 6 1 15.87 15.755736
5000 8 1 92.01 91.384332
6000 2 1 0.29 0.2697
6000 4 1 2.48 2.446768
6000 6 1 15.69 15.556635
6000 8 1 90.64 90.041776
7000 2 1 0.29 0.271788
7000 4 1 2.39 2.362515
7000 6 1 16.58 16.457308
7000 8 1 91.55 90.94577
8000 2 1 0.28 0.266588
8000 4 1 2.42 2.39217
8000 6 1 15.64 15.519572
8000 8 1 90.92 90.310836
9000 2 1 0.28 0.267204
9000 4 1 2.48 2.452224
9000 6 1 16.15 16.041795
9000 8 1 96.0 95.376
10000 2 1 0.28 0.2667
10000 4 1 2.43 2.402298
10000 6 1 15.92 15.813336
10000 8 1 94.7 94.09392
1000 2 2 0.27 0.256473
1000 4 2 2.26 2.232428
1000 6 2 14.61 14.479971
1000 8 2 86.27 85.415927
2000 2 2 0.28 0.2674
2000 4 2 2.28 2.253324
2000 6 2 15.04 14.91216
