Domain_size k solver total_time solver_time
1000 2 1 0.29 0.272426
1000 4 1 2.3 2.26435
1000 6 1 14.76 14.609448
1000 8 1 85.87 84.908256
2000 2 1 0.28 0.264096
2000 4 1 2.37 2.334924
2000 6 1 15.21 15.065505
2000 8 1 89.51 88.516439
3000 2 1 0.29 0.274166
3000 4 1 2.37 2.336109
3000 6 1 15.78 15.626934
3000 8 1 91.33 90.361902
4000 2 1 0.29 0.272774
4000 4 1 2.36 2.326016
4000 6 1 15.31 15.158431
4000 8 1 91.87 90.868617
5000 2 1 0.32 0.301696
5000 4 1 2.49 2.454144
5000 6 1 15.77 15.623339
5000 8 1 93.21 92.249937
6000 2 1 0.28 0.262752
6000 4 1 2.46 2.427774
6000 6 1 16.07 15.907693
6000 8 1 92.7 91.73592
7000 2 1 0.31 0.280953
7000 4 1 2.66 2.617174
7000 6 1 16.42 16.250874
7000 8 1 93.1 92.14107
8000 2 1 0.31 0.289912
8000 4 1 2.43 2.397195
8000 6 1 15.77 15.618608
8000 8 1 92.44 91.497112
9000 2 1 0.3 0.28227
9000 4 1 2.59 2.552445
9000 6 1 16.19 16.050766
9000 8 1 99.21 98.2179
10000 2 1 0.29 0.270048
10000 4 1 2.48 2.448504
10000 6 1 16.22 16.077264
10000 8 1 97.02 96.0498
1000 2 2 0.34 0.326026
1000 4 2 2.6 2.57036
1000 6 2 22.69 22.594702
1000 8 2 201.71 201.205725
2000 2 2 0.34 0.32096
2000 4 2 2.77 2.740638
2000 6 2 24.42 24.314994
2000 8 2 212.76 212.2281
3000 2 2 0.34 0.322184
3000 4 2 2.96 2.934248
3000 6 2 25.36 25.25856
3000 8 2 220.79 220.282183
4000 2 2 0.4 0.37996
4000 4 2 3.07 3.034695
4000 6 2 25.89 25.778673
4000 8 2 228.24 227.692224
5000 2 2 0.37 0.34854
5000 4 2 3.9 3.86529
5000 6 2 28.11 27.994749
5000 8 2 237.87 237.322899
6000 2 2 0.34 0.326672
6000 4 2 2.99 2.964286
6000 6 2 26.89 26.790507
6000 8 2 233.11 232.597158
7000 2 2 0.34 0.327114
7000 4 2 2.95 2.92522
7000 6 2 27.41 27.305842
7000 8 2 237.43 236.883911
8000 2 2 0.34 0.326468
8000 4 2 3.11 3.084809
8000 6 2 27.58 27.475196
8000 8 2 238.54 238.015212
9000 2 2 0.34 0.326502
9000 4 2 3.12 3.094728
9000 6 2 29.18 29.07787
9000 8 2 252.62 252.089498
10000 2 2 0.34 0.326536
10000 4 2 3.19 3.163842
10000 6 2 28.42 28.317688
10000 8 2 248.72 248.172816
1000 2 3 0.27 0.256203
1000 4 3 2.29 2.260459
1000 6 3 14.87 14.725761
1000 8 3 87.55 86.578195
2000 2 3 0.28 0.26544
2000 4 3 2.37 2.339901
2000 6 3 15.01 14.870407
2000 8 3 89.23 88.266316
3000 2 3 0.28 0.266672
3000 4 3 2.52 2.482452
3000 6 3 15.51 15.365757
3000 8 3 91.67 90.698298
4000 2 3 0.29 0.2755
4000 4 3 2.36 2.330736
4000 6 3 15.29 15.150861
4000 8 3 90.73 89.768262
5000 2 3 0.29 0.276196
5000 4 3 2.42 2.390476
5000 6 3 15.85 15.712105
5000 8 3 94.38 93.407886
6000 2 3 0.29 0.275906
6000 4 3 2.44 2.403888
6000 6 3 15.7 15.56027
6000 8 3 92.72 91.774256
7000 2 3 0.28 0.266112
7000 4 3 2.42 2.390718
7000 6 3 15.79 15.651048
7000 8 3 93.13 92.170761
8000 2 3 0.41 0.390156
8000 4 3 2.41 2.379634
8000 6 3 15.65 15.50602
8000 8 3 92.98 92.022306
9000 2 3 0.3 0.27798
9000 4 3 2.48 2.450736
9000 6 3 16.15 16.003035
9000 8 3 97.71 96.723129
10000 2 3 0.29 0.275877
10000 4 3 2.5 2.4695
10000 6 3 16.2 16.05744
10000 8 3 96.96 95.971008
1000 2 4 0.28 0.266476
1000 4 4 2.31 2.27997
1000 6 4 14.6 14.4613
1000 8 4 85.77 84.817953
2000 2 4 0.28 0.265468
2000 4 4 2.46 2.42925
2000 6 4 15.08 14.939756
2000 8 4 88.85 87.881535
3000 2 4 0.28 0.26614
3000 4 4 2.37 2.341323
3000 6 4 15.56 15.41996
3000 8 4 92.44 91.460136
4000 2 4 0.28 0.266084
4000 4 4 2.37 2.33919
4000 6 4 15.41 15.266687
4000 8 4 91.94 90.965436
5000 2 4 0.29 0.27666
5000 4 4 2.45 2.411535
5000 6 4 15.86 15.720432
5000 8 4 93.53 92.557288
6000 2 4 0.29 0.27637
6000 4 4 2.42 2.390234
6000 6 4 15.69 15.544083
6000 8 4 93.14 92.16203
7000 2 4 0.33 0.313467
7000 4 4 2.43 2.395737
7000 6 4 16.11 15.963399
7000 8 4 92.89 91.923944
8000 2 4 0.28 0.266168
8000 4 4 2.41 2.379152
8000 6 4 15.62 15.477858
8000 8 4 93.24 92.270304
9000 2 4 0.28 0.266084
9000 4 4 2.53 2.499134
9000 6 4 16.38 16.237494
9000 8 4 97.26 96.277674
10000 2 4 0.29 0.276399
10000 4 4 2.5 2.4705
10000 6 4 16.47 16.320123
10000 8 4 97.8 96.822
